rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
1,TransPacificPartnership,https://www.marketwatch.com/story/coronavirus-puts-globalization-on-the-ballot-in-november-2020-03-13,80.0,14.68,6.987018140589569,7.693470418470418,66.86,100,Right,95.0,76.0,8,846.0,marketwatch.com,4302
2,TransPacificPartnership,https://news.yahoo.com/trump-gop-allies-move-quickly-213537632.html,40.0,15.05,11.800595238095243,3.2539682539682544,61.46,100,Left,87.5,95.0,8,8.0,news.yahoo.com,7786
3,TransPacificPartnership,https://www.theatlantic.com/ideas/archive/2020/03/dont-abandon-globalizationmake-it-better/608872/,80.0,19.14,13.790322580645162,5.349462365591397,67.27,100,Right,92.5,79.0,8,1360.0,theatlantic.com,16568
4,TransPacificPartnership,https://www.theatlantic.com/ideas/archive/2020/04/its-not-september-12-anymore/609502/,80.0,15.0,7.347958754208754,7.654635928445451,59.18,100,Right,92.5,79.0,8,1360.0,theatlantic.com,21674
5,TransPacificPartnership,https://thediplomat.com/2020/04/blue-dot-network-the-belt-and-road-alternative/,80.0,12.11,9.424427198817442,2.690185830429733,70.09,50,Partially Left,nan,nan,nan,nan,thediplomat.com,6238
6,TransPacificPartnership,https://tw.news.yahoo.com/日經-日本擬將台灣納入tpp-135544384.html,80.0,0.0,0.0,0.0,100.0,0,Center,87.5,95.0,8,8.0,tw.news.yahoo.com,144
9,TransPacificPartnership,https://www.vox.com/2020/3/13/21174841/michigan-primary-sexism-hillary-clinton-joe-biden,80.0,17.42,13.11072495579538,4.3044470526864895,65.75,100,Right,100.0,53.0,8,837.0,vox.com,11321
10,TransPacificPartnership,https://www.thestar.com/opinion/star-columnists/2020/03/26/kirsten-hillman-to-be-named-canadian-ambassador-to-the-us.html,80.0,15.16,12.862411998775636,2.302188552188553,63.65,50,Partially Left,100.0,73.0,8,4247.0,thestar.com,4556
11,TransPacificPartnership,https://news.yahoo.com/fever-dreams-191552329.html,80.0,17.35,11.772899449035814,5.572916666666667,61.86,100,Right,87.5,95.0,8,8.0,news.yahoo.com,5051
12,TransPacificPartnership,https://thefederalist.com/2020/03/17/abortion-extremists-target-pro-life-house-democrats/,80.0,8.28,7.220959595959596,1.0606060606060608,77.35,100,Right,75.0,37.0,7,13301.0,thefederalist.com,3901
13,TransPacificPartnership,https://www.japantimes.co.jp/opinion/2020/03/08/commentary/japan-commentary/will-american-populism-damage-japan/,80.0,12.03,9.72989291410344,2.302631578947368,66.73,50,Partially Left,nan,nan,nan,nan,japantimes.co.jp,5898
14,TransPacificPartnership,https://www.bostonglobe.com/2020/04/06/opinion/globalization-world-hurt/,80.0,11.97,8.428240740740742,3.543761022927689,70.35,100,Left,100.0,63.0,8,4624.0,bostonglobe.com,4320
15,TransPacificPartnership,https://www.eastasiaforum.org/2020/03/15/whither-the-united-states-in-the-indo-pacific/,40.0,9.41,5.842418083271742,3.5643015521064303,71.29,50,Partially Left,nan,nan,nan,nan,eastasiaforum.org,6177
16,TransPacificPartnership,https://www.cato.org/blog/what-would-trade-policy-look-under-president-joe-biden,80.0,15.14,11.868694252466183,3.2748221564011035,67.85,100,Right,nan,nan,nan,nan,cato.org,8276
18,TransPacificPartnership,https://nationalinterest.org/feature/peace-poison-how-coronavirus-could-fix-globalization-problems-133112,40.0,12.8,9.503133722645918,3.2984901277584204,69.86,50,Partially Right,nan,nan,nan,nan,nationalinterest.org,6747
19,TransPacificPartnership,https://www.cbc.ca/news/politics/kirsten-hillman-us-ambassador-1.5510279,80.0,20.01,17.561974789915965,2.450980392156863,53.75,100,Left,100.0,84.0,8,882.0,cbc.ca,2432
20,TransPacificPartnership,https://www.eastasiaforum.org/2020/03/14/repairing-the-us-asean-relationship/,80.0,16.4,12.654844576719576,3.744791666666667,63.43,100,Right,nan,nan,nan,nan,eastasiaforum.org,5610
21,TransPacificPartnership,https://nationalinterest.org/blog/buzz/what-would-president-joe-bidens-trade-policy-look-132907,80.0,15.05,11.89009444729784,3.163811235845134,68.37,100,Left,nan,nan,nan,nan,nationalinterest.org,8347
22,TransPacificPartnership,https://news.yahoo.com/u-offer-taiwan-free-trade-103055743.html,80.0,16.43,12.220443349753696,4.206504702194357,53.64,100,Right,87.5,95.0,8,8.0,news.yahoo.com,16453
23,TransPacificPartnership,https://www.eastasiaforum.org/2020/03/29/can-we-stop-the-protectionist-wave/,80.0,12.54,10.336570756829378,2.2033605762054034,72.18,50,Partially Left,nan,nan,nan,nan,eastasiaforum.org,6496
24,TransPacificPartnership,https://japantoday.com/category/world/trump-gop-allies-move-quickly-to-discredit-attack-biden,100.0,8.0,8.0,0.0,84.0,50,Partially Right,nan,nan,nan,nan,japantoday.com,7783
25,TransPacificPartnership,https://www.channelnewsasia.com/news/commentary/importance-of-fta-to-singapore-supply-chain-12531356,40.0,10.26,8.691847181018913,1.5653073286052008,65.55,50,Partially Left,nan,nan,nan,nan,channelnewsasia.com,7842
26,TransPacificPartnership,https://www.zdnet.com/article/states-of-shock-assessing-the-depths-of-our-new-tech-recession/,80.0,14.09,10.180986050986048,3.9076291208791205,68.42,100,Right,nan,nan,nan,nan,zdnet.com,15173
27,TransPacificPartnership,https://www.thenation.com/article/economy/globalization-regionalization-covid/,80.0,12.85,10.303427290302286,2.5470535714285716,69.09,50,Partially Right,80.0,73.0,7,14857.0,thenation.com,14299
28,TransPacificPartnership,https://news.yahoo.com/reforming-reform-conservatism-165259239.html,80.0,14.12,11.561261461106183,2.5543478260869565,68.15,100,Right,87.5,95.0,8,8.0,news.yahoo.com,15198
29,TransPacificPartnership,https://nationalinterest.org/blog/buzz/western-values-may-not-survive-coronavirus-138712,80.0,10.39,7.803132402189007,2.591194968553459,63.51,100,Right,nan,nan,nan,nan,nationalinterest.org,8660
30,TransPacificPartnership,https://www.japantimes.co.jp/opinion/2020/03/08/commentary/japan-commentary/moving-nation-beyond-abenomics/,80.0,11.05,8.240808541340458,2.8066378066378066,71.65,50,Partially Left,nan,nan,nan,nan,japantimes.co.jp,6740
31,TransPacificPartnership,https://www.truthdig.com/articles/the-myth-of-joe-bidens-electability/,80.0,13.9,11.413868104917487,2.4820252792475013,67.69,100,Left,80.0,63.0,7,43843.0,truthdig.com,14127
