rank,topic,url,readability,sentence_level_sentiment,sentence_level_objectivity,bias,credibility,trust_metric,google_page_rank,alexa_reach_rank
73,TradeTariffs,https://www.latimes.com/business/story/2020-01-27/chicken-chemicals-eu-trade,80.0,9.77,76.95,50,100.0,85.0,8,1212.0
74,TradeTariffs,https://news.yahoo.com/us-china-trade-pact-president-135844439.html,80.0,18.65,59.42,100,87.5,95.0,8,8.0
76,TradeTariffs,https://www.marketwatch.com/story/dow-futures-gain-extend-gains-as-investors-ride-optimism-of-partial-us-china-trade-accord-2020-01-16,80.0,17.67,61.05,50,95.0,76.0,8,846.0
77,TradeTariffs,https://www.businessinsider.com/donald-trump-ally-boris-johnson-abandoning-president-after-apoplectic-call-2020-2,80.0,11.0,78.57,50,100.0,57.0,8,352.0
78,TradeTariffs,https://www.theregister.co.uk/2020/01/23/french_digital_tax/,40.0,13.71,72.69,100,nan,nan,nan,nan
79,TradeTariffs,https://news.yahoo.com/u-agriculture-secretary-says-no-212851552.html,40.0,9.59,73.26,50,87.5,95.0,8,8.0
81,TradeTariffs,https://www.bloomberg.com/news/articles/2020-01-21/trump-says-he-ll-weigh-europe-auto-tariffs-without-trade-deal,100.0,33.33,53.7,50,95.0,84.0,8,461.0
82,TradeTariffs,https://www.marketwatch.com/story/european-stocks-on-track-for-record-on-relief-over-us-china-trade-pact-2020-01-16,80.0,14.63,72.48,100,95.0,76.0,8,846.0
83,TradeTariffs,https://time.com/5775262/brexit-what-happens-next/,80.0,8.41,74.67,50,95.0,64.0,8,1028.0
84,TradeTariffs,https://www.businessoffashion.com/articles/professional/china-and-the-us-signed-a-trade-truce-who-now-benefits,40.0,10.26,69.03,50,nan,nan,nan,nan
85,TradeTariffs,https://www.reuters.com/article/us-usa-election-economy-factbox-idUSKBN1ZR17A,80.0,15.66,71.04,50,100.0,87.0,9,544.0
86,TradeTariffs,https://news.yahoo.com/why-phase-1-u-china-145907836.html,40.0,14.1,52.95,100,87.5,95.0,8,8.0
87,TradeTariffs,https://news.yahoo.com/trump-gave-rambling-speech-davos-123021217.html,100.0,20.59,65.27,100,87.5,95.0,8,8.0
88,TradeTariffs,https://www.politico.com/news/2020/01/16/eu-trade-chief-urges-reset-in-us-relationship-amid-tensions-099745,80.0,17.46,52.61,50,100.0,74.0,8,941.0
89,TradeTariffs,https://www.huffpost.com/entry/trump-usmca-rebrand-nafta_n_5e31f55dc5b6fb636bae1663,100.0,16.67,76.67,100,nan,nan,nan,nan
90,TradeTariffs,https://www.gamasutra.com/view/news/357236/Game_consoles_excluded_from_tariffs_on_Chinese_imports_until_further_notice.php?utm_source=feedburner,40.0,18.73,55.33,50,nan,nan,nan,nan
91,TradeTariffs,https://www.marketwatch.com/story/davos-elites-warm-to-trump-recoiling-at-the-prospect-of-a-sanders-or-warren-presidency-2020-01-23,40.0,16.67,62.03,100,95.0,76.0,8,846.0
92,TradeTariffs,https://time.com/5773850/eu-parliament-approves-brexit-departure-terms/,80.0,7.93,74.19,50,95.0,64.0,8,1028.0
93,TradeTariffs,https://news.yahoo.com/u-china-must-adjust-stable-123636195.html,40.0,21.34,61.26,50,87.5,95.0,8,8.0
94,TradeTariffs,https://www.fool.com/investing/2020/02/14/zebra-technologies-can-handle-its-chinese-supply-c.aspx,40.0,11.31,61.89,50,nan,nan,nan,nan
95,TradeTariffs,https://www.businessoffashion.com/articles/news-analysis/the-eu-opens-trade-doors-for-vietnam-and-shuts-out-cambodia,40.0,12.72,72.16,50,nan,nan,nan,nan
96,TradeTariffs,https://www.marketwatch.com/story/us-government-bond-yields-hold-steady-as-market-awaits-a-batch-of-data-2020-01-16,80.0,7.78,75.71,50,95.0,76.0,8,846.0
97,TradeTariffs,https://www.worldpoliticsreview.com/articles/28514/trump-s-foreign-policy-has-courted-disaster-why-hasn-t-it-caused-one,80.0,10.1,61.18,100,nan,nan,nan,nan
98,TradeTariffs,https://www.marketwatch.com/story/economy-grows-21-in-the-4th-quarter-as-gdp-gets-big-boost-from-falling-trade-deficit-2020-01-30,80.0,10.92,66.9,50,95.0,76.0,8,846.0
99,TradeTariffs,https://www.fool.com/investing/2020/02/06/china-just-cut-tariffs-what-you-need-to-know.aspx,40.0,18.07,63.34,0,nan,nan,nan,nan
100,TradeTariffs,https://www.marketwatch.com/story/trumps-state-of-the-union-speech-could-dent-health-care-stocks-but-boost-the-broader-market-analysts-say-2020-02-04,80.0,12.07,66.98,100,95.0,76.0,8,846.0
1,TransPacificPartnership,https://www.cnn.com/videos/politics/2020/01/27/iowa-farmer-trump-trade-reaction-ncc-orig.cnn,100.0,18.33,78.89,100,100.0,87.0,9,nan
2,TransPacificPartnership,https://www.bbc.com/news/business-51055491,80.0,15.18,68.52,100,95.0,84.0,8,81.0
3,TransPacificPartnership,https://news.yahoo.com/trump-struggled-read-us-constitution-110120468.html,80.0,11.1,67.27,50,87.5,95.0,8,8.0
4,TransPacificPartnership,https://www.huffpost.com/entry/trump-usmca-rebrand-nafta_n_5e31f55dc5b6fb636bae1663,100.0,16.67,76.67,100,nan,nan,nan,nan
5,TransPacificPartnership,https://www.theatlantic.com/politics/archive/2020/01/schumer-aoc-trade-primary/605182/,40.0,19.21,60.49,100,92.5,79.0,8,1360.0
6,TransPacificPartnership,https://www.marketwatch.com/story/davos-elites-warm-to-trump-recoiling-at-the-prospect-of-a-sanders-or-warren-presidency-2020-01-23,40.0,16.67,62.03,100,95.0,76.0,8,846.0
7,TransPacificPartnership,https://www.bangkokpost.com/business/1857949/japan-keeps-cptpp-bid-at-the-fore,80.0,17.66,55.18,50,nan,nan,nan,nan
8,TransPacificPartnership,https://www.eff.org/deeplinks/2020/01/dont-write-copyright-law-secret,80.0,15.06,53.64,50,nan,nan,nan,nan
9,TransPacificPartnership,https://www.bangkokpost.com/business/1859454/thailand-to-decide-on-trade-pact-around-april-japan-minister,80.0,10.6,61.23,50,nan,nan,nan,nan
10,TransPacificPartnership,https://www.theatlantic.com/politics/archive/2020/01/does-john-delaney-know-why-he-still-running-president/604915/,80.0,12.35,74.13,100,92.5,79.0,8,1360.0
11,TransPacificPartnership,https://news.yahoo.com/gi-partners-invests-dr-fortress-150200947.html,80.0,15.48,65.94,100,87.5,95.0,8,8.0
12,TransPacificPartnership,https://www.wsj.com/articles/john-delaney-ends-democratic-presidential-campaign-11580475914,100.0,9.52,82.14,100,100.0,77.0,8,535.0
13,TransPacificPartnership,https://www.salon.com/2020/01/27/are-tom-perez-and-the-dnc-preparing-for-a-battle-against-bernie-sanders-and-the-left_partner/,80.0,11.2,65.05,100,82.5,70.0,8,4163.0
14,TransPacificPartnership,https://thediplomat.com/2020/02/time-to-jumpstart-australia-indonesia-economic-relations/,80.0,15.66,64.7,50,nan,nan,nan,nan
16,TransPacificPartnership,https://japantoday.com/category/business/japan's-beef-pork-imports-grow-in-2019-under-pacific-free-trade-deal,100.0,0.0,100.0,100,nan,nan,nan,nan
17,TransPacificPartnership,https://www.bloomberg.com/news/articles/2020-02-04/trade-war-latest-facts-to-review-before-trump-lauds-trade-record-k67tzprk,100.0,33.33,53.7,50,95.0,84.0,8,461.0
18,TransPacificPartnership,https://www.globalresearch.ca/afro-eurasia-alternative-indo-pacific/5700807,40.0,12.81,72.4,0,nan,nan,nan,nan
19,TransPacificPartnership,https://dianeravitch.net/2020/01/21/teresa-hanafin-mcconnells-see-no-evil-impeachment-rules/,80.0,6.94,81.64,100,nan,nan,nan,nan
21,TransPacificPartnership,https://www.salon.com/2020/02/07/trumps-trade-war-is-making-americans-average-incomes-decrease-government-report-says/,80.0,16.47,65.65,50,82.5,70.0,8,4163.0
22,TransPacificPartnership,https://www.malaysiakini.com/news/510469,40.0,9.6,65.39,50,nan,nan,nan,nan
23,TransPacificPartnership,https://sputniknews.com/world/202002081078260848-uk-and-japan-agree-to-work-towards-trade-deal-just-as-ambitious-as-eu-arrangement/,80.0,16.52,57.3,50,7.5,65.0,8,615.0
24,TransPacificPartnership,https://www.nakedcapitalism.com/2020/01/a-whos-who-of-people-against-progressives-agenda-dncs-perez-under-fire-for-convention-committee-picks.html,80.0,11.31,69.76,100,nan,nan,nan,nan
25,TransPacificPartnership,https://www.project-syndicate.org/commentary/trump-trade-war-damage-2020-by-anne-krueger-2020-01,80.0,13.39,66.91,50,87.5,nan,7,45368.0
26,TransPacificPartnership,http://nymag.com/intelligencer/2020/01/trump-china-trade-deal.html,80.0,13.66,63.45,50,75.0,51.0,8,1822.0
27,TransPacificPartnership,https://japantoday.com/category/politics/aso-vows-to-put-japan-on-sustainable-private-sector-led-growth,100.0,0.0,100.0,100,nan,nan,nan,nan
28,TransPacificPartnership,https://www.globalresearch.ca/five-phase-strategy-strengthen-russian-pakistani-trade-ties/5702095,80.0,11.56,74.68,0,nan,nan,nan,nan
30,TransPacificPartnership,https://japantoday.com/category/world/former-new-zealand-pm-and-wto-leader-mike-moore-dead,100.0,11.15,65.48,100,nan,nan,nan,nan
31,TransPacificPartnership,https://sputniknews.com/analysis/202001201078085953-kissingers-nightmare-how-russo-chinese-arctic-cooperation-may-upset-us-control-over-the-sea/,80.0,15.67,67.97,50,7.5,65.0,8,615.0
32,TransPacificPartnership,https://news.yahoo.com/trump-made-eyebrow-raising-statements-222035211.html,80.0,12.68,74.99,100,87.5,95.0,8,8.0
34,TransPacificPartnership,https://www.rawstory.com/2020/01/promise-made-promise-broken-new-analysis-finds-trump-is-losing-more-often-than-hes-winning/,40.0,12.81,74.1,100,87.5,59.0,7,5659.0
35,TransPacificPartnership,https://thediplomat.com/2020/01/chinas-clean-energy-decline-impact-on-the-eu-and-us/,80.0,11.65,67.2,50,nan,nan,nan,nan
36,TransPacificPartnership,https://www.rawstory.com/2020/01/dncs-tom-perez-under-fire-for-convention-committee-picks/,80.0,12.67,70.64,50,87.5,59.0,7,5659.0
37,TransPacificPartnership,https://www.channelnewsasia.com/news/singapore/singapore-open-trading-system-protectionism-lee-hsien-loong-wef-12306246,80.0,9.39,66.08,50,nan,nan,nan,nan
38,TransPacificPartnership,https://www.worldpoliticsreview.com/articles/28298/how-do-warren-and-sanders-progressive-foreign-policy-visions-stack-up,80.0,6.42,82.25,100,nan,nan,nan,nan
39,TransPacificPartnership,https://nationalinterest.org/feature/withdrawing-inf-treaty-was-easy-part-121146,80.0,14.82,66.15,100,nan,nan,nan,nan
40,TransPacificPartnership,https://www.channelnewsasia.com/news/world/former-new-zealand-pm-and-wto-leader-mike-moore-dead-12381708,80.0,11.86,62.61,50,nan,nan,nan,nan
41,TransPacificPartnership,https://www.nybooks.com/articles/2020/02/13/do-democrats-have-foreign-policy/,40.0,10.62,72.24,100,nan,nan,nan,nan
42,TransPacificPartnership,https://www.seattletimes.com/nation-world/ap-fact-check-trump-spreads-distortions-at-davos/,80.0,13.56,69.3,50,100.0,66.0,8,4778.0
43,TransPacificPartnership,https://www.globalresearch.ca/battle-ages-stop-eurasian-integration/5700890,80.0,9.15,70.32,0,nan,nan,nan,nan
44,TransPacificPartnership,https://www.globalresearch.ca/selected-articles-world-economic-forum/5701541,80.0,12.53,71.36,50,nan,nan,nan,nan
45,TransPacificPartnership,https://news.yahoo.com/squire-patton-boggs-opens-milan-114700352.html,80.0,13.91,70.02,100,87.5,95.0,8,8.0
46,TransPacificPartnership,https://news.yahoo.com/agropur-increases-sales-challenging-market-173000407.html,80.0,16.36,70.37,100,87.5,95.0,8,8.0
47,TransPacificPartnership,https://www.thehindu.com/books/books-reviews/book-review-the-new-world-disorder-and-the-indian-imperative-by-shashi-tharoor-and-samir-saran/article30644414.ece,80.0,16.26,64.59,50,nan,nan,nan,nan
49,TransPacificPartnership,https://www.nbcnews.com/politics/2020-election/elizabeth-warren-doubles-down-surprisingly-risky-pitch-democratic-unity-n1137171,100.0,6.25,81.25,100,100.0,78.0,8,581.0
51,TransPacificPartnership,https://news.yahoo.com/u-k-seeks-simpler-tariffs-121009960.html,40.0,13.03,59.86,50,87.5,95.0,8,8.0
52,TransPacificPartnership,https://www.bangkokpost.com/business/1857094/somkid-call-on-cptpp-due-in-3-months,80.0,6.55,75.26,0,nan,nan,nan,nan
53,TransPacificPartnership,https://www.eastasiaforum.org/2020/02/11/chengdu-trilateral-summit-still-to-deliver/,40.0,11.91,69.3,0,nan,nan,nan,nan
54,TransPacificPartnership,https://thediplomat.com/2020/02/us-must-recapture-lost-ground-in-southeast-asia-or-risk-being-shut-out/,80.0,12.86,67.08,50,nan,nan,nan,nan
55,TransPacificPartnership,https://www.japantimes.co.jp/news/2020/01/20/business/economy-business/taro-aso-japan-sustainable-private-sector-growth/,80.0,10.36,67.42,50,nan,nan,nan,nan
57,TransPacificPartnership,https://www.rawstory.com/2020/02/trumps-trade-war-is-making-american-family-incomes-decrease-by-1277-a-year-government-report/,80.0,15.17,65.02,50,87.5,59.0,7,5659.0
59,TransPacificPartnership,https://nationalinterest.org/blog/buzz/did-congress-make-mistake-trumps-us-mexico-canada-agreement-115236,80.0,10.2,64.46,100,nan,nan,nan,nan
60,TransPacificPartnership,https://finance.yahoo.com/news/robert-kennedy-jr-on-donald-trump-142603057.html,80.0,14.47,73.63,100,87.5,95.0,8,8.0
61,TransPacificPartnership,https://www.globalresearch.ca/why-new-silk-roads-threat-us-bloc/5701858,80.0,9.74,62.21,50,nan,nan,nan,nan
63,TransPacificPartnership,https://www.politico.com/news/2020/02/03/trump-state-of-the-union-address-110618,40.0,15.82,68.05,50,100.0,74.0,8,941.0
64,TransPacificPartnership,https://www.counterpunch.org/2020/02/11/trump-told-the-truth-where-it-countedfor-his-reelection/,80.0,13.92,61.66,100,80.0,68.0,7,35459.0
65,TransPacificPartnership,https://truthout.org/articles/government-report-finds-trumps-trade-war-is-harmful-to-americans-incomes/,80.0,12.73,68.22,50,100.0,53.0,7,41570.0
66,TransPacificPartnership,https://www.eastasiaforum.org/2020/01/24/aseans-rcep-and-sustainability-challenges-and-achievements/,80.0,15.71,68.13,0,nan,nan,nan,nan
67,TransPacificPartnership,https://news.yahoo.com/ap-fact-check-trump-spreads-165258512.html,80.0,15.81,66.92,50,87.5,95.0,8,8.0
68,TransPacificPartnership,http://www.thewrap.com/alex-jones-crashes-dc-womens-march-chants-down-with-trump/,80.0,13.0,67.29,100,87.5,42.0,7,4726.0
69,TransPacificPartnership,https://theweek.com/articles/889888/how-trumps-hatred-international-cooperation-weakened-china-deal,80.0,14.08,63.3,100,100.0,60.0,7,6221.0
70,TransPacificPartnership,https://www.rawstory.com/2020/01/electability-of-biden-is-more-conventional-and-less-wisdom/,80.0,11.59,59.72,100,87.5,59.0,7,5659.0
71,TransPacificPartnership,https://www.travelcodex.com/what-does-the-alaska-alliance-with-oneworld-american-airlines-mean/,80.0,12.63,77.43,100,nan,nan,nan,nan
72,TransPacificPartnership,https://www.aei.org/economics/five-questions-for-kimberly-clausing-on-globalization-labor-markets-and-the-future-of-the-left/,80.0,15.39,66.16,100,nan,nan,nan,nan
73,TransPacificPartnership,https://goodmenproject.com/featured-content/is-impeachment-optional-or-mandatory/,80.0,15.49,64.62,100,nan,nan,nan,nan
74,TransPacificPartnership,https://finance.yahoo.com/news/u-china-trade-war-vietnam-220014428.html,80.0,11.18,69.83,50,87.5,95.0,8,8.0
75,TransPacificPartnership,https://www.cato.org/blog/usmca-races-across-finish-line-uncertainty-remains,80.0,10.62,63.0,100,nan,nan,nan,nan
76,TransPacificPartnership,https://hollywoodlife.com/2020/01/17/womens-march-2020-information-when-were-protest/,80.0,9.33,74.62,100,nan,nan,nan,nan
77,TransPacificPartnership,https://www.eastasiaforum.org/2020/01/18/new-zealand-india-trade-an-unfinished-story/,40.0,11.96,53.44,0,nan,nan,nan,nan
78,TransPacificPartnership,https://e360.yale.edu/features/salvation-or-pipe-dream-a-movement-grows-to-protect-up-to-half-the-planet?utm_source=feedburner,80.0,16.06,62.48,50,nan,nan,nan,nan
80,TransPacificPartnership,https://www.truthdig.com/articles/is-the-dnc-planning-to-go-to-war-against-the-left/,80.0,8.43,75.44,100,80.0,63.0,7,43843.0
82,TransPacificPartnership,https://vancouversun.com/health/family-child/town-talk-million-dollar-gala-benefits-the-canucks-autism-network,80.0,12.58,73.87,50,nan,nan,nan,nan
83,TransPacificPartnership,https://news.yahoo.com/build-wall-travel-ban-tax-110012184.html,40.0,17.85,59.82,100,87.5,95.0,8,8.0
