rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
100,UnitedStatesBorderPatrol,https://www.eff.org/deeplinks/2020/03/announcing-who-has-your-face,40.0,12.53,8.620887445887448,3.9091666666666662,66.78,100,Left,nan,nan,nan,nan,eff.org,8895
4,Immigration,https://www.theverge.com/2020/3/27/21196100/immigration-borders-covid-19-coronavirus,80.0,19.61,8.394039930925178,11.217916873654579,58.32,100,Right,100.0,75.0,8,443.0,theverge.com,7928
8,Immigration,http://feeds.reuters.com/~r/reuters/topNews/~3/CNC6HL3UnrM/u-s-immigration-courts-shut-after-outcry-over-coronavirus-fears-idUSKBN2151X6,80.0,9.37,8.010381593714927,1.3585858585858586,66.96,50,Partially Left,100.0,87.0,9,544.0,feeds.reuters.com,8407
9,Immigration,https://www.npr.org/2020/03/18/817965714/immigration-grinds-to-a-halt-as-president-trump-shuts-borders,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,5494
10,Immigration,https://www.npr.org/2020/03/27/822527629/immigration-system-slowdown-keeps-some-doctors-from-coronavirus-front-lines,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,4226
12,Immigration,https://news.yahoo.com/want-defeat-coronavirus-protect-legal-100051364.html,80.0,17.09,16.09388528138528,0.9951073232323231,67.43,100,Right,87.5,95.0,8,8.0,news.yahoo.com,5137
13,Immigration,https://www.bbc.co.uk/news/world-africa-52019326,80.0,3.21,1.4102564102564104,1.7948717948717947,83.29,100,Left,95.0,96.0,9,102.0,bbc.co.uk,273
14,Immigration,https://www.businessinsider.com/covid-19-feinstein-asks-immigration-courts-to-close-amid-pandemic-2020-3,80.0,5.48,4.624395212630507,0.857843137254902,77.79,100,Right,100.0,57.0,8,352.0,businessinsider.com,2316
15,Immigration,https://www.cnn.com/2020/04/01/us/san-diego-drug-tunnel-trnd/index.html,100.0,15.71,13.571428571428571,2.142857142857143,73.57,100,Right,100.0,87.0,9,nan,cnn.com,1709
16,Immigration,https://news.yahoo.com/coronavirus-inevitable-prison-us-immigration-080001100.html,80.0,11.47,7.526666666666667,3.938874458874459,57.73,100,Left,87.5,95.0,8,8.0,news.yahoo.com,5560
18,Immigration,https://boingboing.net/2020/03/18/coronavirus-ice-to-stop-arres.html,100.0,6.06,3.835227272727273,2.2222222222222223,64.61,100,Left,62.0,72.0,8,4847.0,boingboing.net,1495
19,Immigration,https://www.wired.com/story/the-asian-countries-that-beat-covid-19-have-to-do-it-again/,80.0,12.05,6.399690179101943,5.647917079289628,70.96,50,Partially Left,100.0,85.0,8,1138.0,wired.com,4157
20,Immigration,https://www.wired.com/story/ariana-grande-covid-19/,80.0,20.07,18.71547619047619,1.3550372529964367,60.05,100,Left,100.0,85.0,8,1138.0,wired.com,4681
21,Immigration,https://time.com/5805376/trump-undocumented-immigration-mexico-border/,40.0,8.24,5.704534181096681,2.534722222222222,75.69,50,Partially Left,95.0,64.0,8,1028.0,time.com,2753
22,Immigration,https://www.engadget.com/2020/03/12/aclu-sues-homeland-security-facial-recognition/,80.0,14.83,8.055555555555555,6.770833333333333,72.71,100,Right,100.0,76.0,8,566.0,engadget.com,273
23,Immigration,https://news.yahoo.com/coronavirus-trump-administration-orders-immigration-085954538.html,40.0,6.15,1.8750000000000002,4.274305555555556,69.36,100,Right,87.5,95.0,8,8.0,news.yahoo.com,2619
24,Immigration,https://abcnews.go.com/Politics/wireStory/children-face-immigration-judges-video-screens-69537975,80.0,9.83,8.662085976039466,1.1682047496000985,75.29,100,Left,82.5,86.0,9,1130.0,abcnews.go.com,6333
25,Immigration,https://www.npr.org/sections/coronavirus-live-updates/2020/03/18/818095140/ice-halts-most-arrests-amid-coronavirus-crisis,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,1909
26,Immigration,https://www.reuters.com/article/us-usa-mexico-immigration-idUSKBN21905R,40.0,6.21,3.3333333333333335,2.876820149547422,82.9,50,Partially Left,100.0,87.0,9,544.0,reuters.com,1819
27,Immigration,https://www.vice.com/en_us/article/939gp5/the-doj-wont-let-immigration-judges-hang-up-posters-about-coronavirus-for-some-reason,40.0,18.42,7.408730158730159,11.011904761904763,69.23,100,Left,100.0,59.0,8,122.0,vice.com,3348
28,Immigration,https://www.businessinsider.com/immigrant-ice-coronavirus-covid-detention-center-2020-3,80.0,16.8,12.080938697318008,4.720045280390108,65.8,100,Left,100.0,57.0,8,352.0,businessinsider.com,3522
29,Immigration,https://www.wired.com/story/trumps-coronavirus-policies-dont-tackle-pandemic/,80.0,14.34,12.102272727272728,2.235284391534392,57.36,100,Right,100.0,85.0,8,1138.0,wired.com,3552
30,Immigration,https://news.yahoo.com/u-plans-turn-back-asylum-235212683.html,40.0,8.43,5.058922558922559,3.3680555555555554,74.83,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,1652
31,Immigration,https://news.yahoo.com/u-plans-turn-back-asylum-233858995.html,80.0,5.19,4.288825757575757,0.8999999999999999,67.57,100,Right,87.5,95.0,8,8.0,news.yahoo.com,1661
32,Immigration,https://news.yahoo.com/us-judge-dismisses-mexicos-immigration-224756044.html,40.0,11.34,10.520833333333332,0.8217592592592592,68.23,100,Right,87.5,95.0,8,8.0,news.yahoo.com,3161
34,Immigration,https://www.huffpost.com/entry/immigration-courts-coronavirus_n_5e67a965c5b6670e72ff3307,100.0,16.67,16.666666666666664,0.0,76.67,100,Right,nan,nan,nan,nan,huffpost.com,4262
35,Immigration,https://news.yahoo.com/22-old-guatemalan-asylum-seeker-012104887.html,80.0,14.03,11.534090909090908,2.5,68.51,100,Right,87.5,95.0,8,8.0,news.yahoo.com,3685
36,Immigration,https://news.yahoo.com/ice-risk-tool-sentencing-innocents-001042059.html,40.0,14.13,8.087121212121213,6.037878787878789,54.36,100,Right,87.5,95.0,8,8.0,news.yahoo.com,5928
37,Immigration,https://www.reuters.com/article/us-health-coronavirus-malaysia-tourist-idUSKBN21D1IH,40.0,8.33,4.321338383838383,4.012896825396826,76.03,50,Partially Left,100.0,87.0,9,544.0,reuters.com,2604
38,Immigration,https://www.npr.org/2020/03/18/817179557/coronavirus-epidemic-brings-special-challenges-for-immigrants-in-urban-areas,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,3669
39,Immigration,https://news.yahoo.com/guatemala-turns-tables-blocking-u-174716314.html,80.0,12.63,6.579076479076479,6.052380952380952,70.4,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,6453
40,Immigration,https://news.yahoo.com/groups-release-immigrant-detainees-high-202033561.html,80.0,10.25,5.599067599067599,4.655448717948718,71.95,100,Right,87.5,95.0,8,8.0,news.yahoo.com,5940
41,Immigration,https://news.yahoo.com/virus-adds-constant-fear-life-undocumented-immigrant-020837635.html,80.0,10.89,5.591329966329967,5.29783950617284,71.72,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,3320
42,Immigration,https://abcnews.go.com/US/ice-detainees-ordered-released-coronavirus-concerns/story?id=69828254,80.0,16.31,11.294660894660895,5.018518518518519,66.34,50,Partially Left,82.5,86.0,9,1130.0,abcnews.go.com,2404
43,Immigration,https://www.vice.com/en_us/article/pke4xb/ice-detainees-hiv-release-coronav,40.0,13.74,8.710618085618085,5.029926702085794,73.11,50,Partially Right,100.0,59.0,8,122.0,vice.com,7936
44,Immigration,https://time.com/5801847/washington-state-immigrant-detention-coronavirus/,80.0,15.24,9.63644380311047,5.604954018644495,68.6,100,Right,95.0,64.0,8,1028.0,time.com,9511
45,Immigration,https://www.bbc.co.uk/news/science-environment-51914782,80.0,12.64,9.160364145658264,3.4761710239651418,69.17,100,Left,95.0,96.0,9,102.0,bbc.co.uk,8682
46,Immigration,https://www.buzzfeednews.com/article/hamedaleaziz/immigration-court-coronavirus-demand-closed-lawyers-judges,80.0,12.04,5.180491551459294,6.857631615696133,62.29,50,Partially Left,nan,nan,nan,nan,buzzfeednews.com,4434
47,Immigration,https://news.yahoo.com/trump-administration-urged-release-detained-191455888.html,80.0,10.42,8.544404504225934,1.8763528138528134,70.03,100,Right,87.5,95.0,8,8.0,news.yahoo.com,6714
48,Immigration,https://time.com/5799871/federalism-immigration-history/,80.0,10.22,7.728174603174604,2.4943910256410255,72.05,100,Left,95.0,64.0,8,1028.0,time.com,6291
49,Immigration,https://www.businessinsider.com/courts-strike-down-abortion-bans-in-alabama-ohio-texas-2020-3,80.0,9.45,7.599252897639993,1.8548387096774195,68.02,100,Right,100.0,57.0,8,352.0,businessinsider.com,3877
50,Immigration,https://jezebel.com/oprah-winfreys-empathetic-ignorant-approach-to-immigra-1842148966,80.0,12.86,9.610927626013833,3.245073891625615,64.09,100,Left,87.5,34.0,8,3051.0,jezebel.com,10688
51,Immigration,https://time.com/5801299/supreme-court-allows-remain-in-mexico-policy/,40.0,15.18,8.754960317460318,6.423611111111112,75.0,50,Partially Left,95.0,64.0,8,1028.0,time.com,2474
52,Immigration,https://www.buzzfeednews.com/article/hamedaleaziz/immigration-judges-coronavirus-postpone-asylum-cases,40.0,17.28,11.337756446452097,5.938405797101449,54.81,100,Left,nan,nan,nan,nan,buzzfeednews.com,3650
53,Immigration,https://www.huffpost.com/entry/supreme-court-trump-asylum-seekers-mexico_n_5e692954c5b68c0169120dfa,100.0,16.67,16.666666666666664,0.0,76.67,100,Right,nan,nan,nan,nan,huffpost.com,1595
